
   THE FOLLOWING TABLE IS PRINTED FOR ALL ELEMENTS WITH TYPE C3D8 AVERAGED AT THE NODES

       NODE  FOOT-   S11         S22         S33         S12         S13         S23     
             NOTE 

         169       -325.4      -172.2      -228.8      -23.21       89.29       87.14
         170       -455.7      -442.4      -168.1      -34.04       121.4       62.41
         171       -387.3      -424.5      -106.6       2.053       71.91       112.7
         172       -189.2      -155.1       346.1      -41.07       86.20       80.59
         173       -504.1      -432.7      -315.0       37.36       109.3       100.3
         174       -281.9      -310.8      -197.6       43.02       54.98       63.37
         175       -255.0      -264.3      -132.9       24.54       87.13       60.67
         176       -215.8      -204.2      -29.92       73.49       55.66       26.55
         177       -226.6      -210.2       6.384       81.60       43.62      -3.316
         178       -290.5      -191.4      -341.7       111.2      -1.447       47.74
         179        349.3       284.5       565.2      -113.0      -56.08      -25.57
         180        309.9       211.6       585.2      -96.29      -99.56       43.82
         181        376.3       206.0       424.2      -83.60      -140.4       50.87
         182        348.5       226.8       559.5      -71.82      -125.8       61.43
         183        329.6       325.7       533.8      -84.54      -231.4       46.37
         184        467.4       198.5       293.2      -109.6      -165.8       56.96
         185        387.9       342.8       449.4      -40.18      -218.5       58.66
         186        462.7       443.5       347.5      -48.26      -195.9       97.73
         187        423.4       443.0       440.4      -28.98      -220.2       83.82
         188        413.0       190.7       118.1      -71.67      -239.9       84.35
         189        481.5       224.3       296.6      -25.21      -224.3       101.4
         190        375.7       27.27       12.32      -72.42      -193.6       104.3
         191        522.6       221.7       385.3      -2.302      -130.4       94.40
         192        249.9       27.60       3.543      -3.989      -148.3       58.29
         193        384.5      -3.009       185.3      -72.57      -155.8       75.94
         194        403.0       129.4       112.6      -27.98      -120.4       100.3
         195        365.7      -4.420       113.2       3.543      -76.70       113.9
         196        707.7       202.6       773.4       86.50      -76.79       65.35
         197        245.6       152.2       54.58       60.50      -82.88      -9.935
         198        262.6       66.18       240.3       32.89      -89.29       51.04
         199        408.4       308.1       469.9       16.07      -93.93       23.28
         200        418.2       275.3       546.7       57.03      -115.5       7.882
         201        239.0       231.6       407.7       40.44      -127.5      -4.819
         202        290.8       302.1       399.2       32.56      -150.9       19.64
         203        358.9       125.9       487.4       62.34      -154.8       8.265
         204        338.9       86.86       492.9       123.6      -135.8      -16.22
         205        46.57       250.7       400.0       96.53      -188.0      -29.13
         206        352.9       329.9       433.2       94.33      -205.9      -42.22
         207        2.902       10.48       272.0       50.60      -226.4      -62.53
         208        235.5       123.1       341.3       60.90      -225.5      -1.745
         209        583.4       156.9       516.5       87.25      -215.2      -19.09
         210        340.3       145.8       434.0       136.5      -215.3      -84.78
         211        319.3       142.0       399.2       91.31      -221.1      -98.53
         212       -102.2      -14.73       162.5       42.81      -233.2      -84.30
         213        654.5       370.6       463.1       46.19      -201.6      -43.74
         214        564.3       157.4       423.1       79.33      -126.2      -41.61
         215        109.3       183.5       337.5       60.10      -151.7      -111.1
         216        580.4       133.0       285.6       54.13      -164.2      -78.07
         217        208.9       219.1       254.1      -7.191      -49.59      -61.02
         218        386.0       287.2       290.5      -17.17      -31.61      -19.80
         219        169.9       442.1       255.7       132.7      -14.08       72.37
         220        411.7      -282.7      -304.0       200.2       9.064      -39.53
         221        112.5      -103.4       198.0       96.36      -7.865       138.1
         222       -273.1       79.51      -290.5      -54.97       29.11       194.6
         223        3031.       6505.      -3522.      -1910.      -76.34       230.4
         224        1973.       8826.      -3502.      -1585.       16.60       124.4
         225        1778.      1.1428E+04  -3006.      -1253.      -221.2       160.3
         226        506.4      1.0095E+04  -3398.      -982.3       186.6      -183.6
         227        384.8       9644.      -3490.      -736.6       337.0      -45.71
         228        408.7      1.0467E+04  -3020.      -731.4       523.9       239.5
         229        664.8      1.0574E+04  -2904.      -784.2       727.5       441.6
         230        756.2      1.1114E+04  -2842.      -846.0       885.3       523.7
         231        984.9      1.1489E+04  -2445.      -884.8       922.0       577.2
         232        1410.      1.2123E+04  -1984.      -940.0       940.9       658.1
         233        190.9      1.1784E+04  -1914.      -1012.       1096.       684.7
         234        481.5      1.3116E+04  -2176.      -1072.       1323.       583.4
         235        562.9      1.2771E+04  -1670.      -1064.       1288.       453.5
         236        749.5      1.3467E+04  -1385.      -1169.       1436.       379.0
         237        730.0      1.0882E+04  -1526.      -1139.       1434.       354.1
         238        12.05      1.2614E+04  -1320.      -1136.       1560.       288.4
         239       -143.4      1.2785E+04  -1454.      -1039.       1702.       179.9
         240       -339.6      1.2900E+04  -1533.      -1009.       1769.       52.02
         241       -558.3      1.3112E+04  -1522.      -979.4       1859.      -188.9
         242       -467.4      1.3285E+04  -1385.      -867.1       1904.      -424.5
         243       -550.8      1.3522E+04  -832.0      -778.1       1863.      -565.8
         244       -618.6      1.3674E+04  -670.2      -701.2       1969.      -543.6
         245       -765.5      1.3204E+04  -812.2      -742.2       2047.      -687.9
         246       -766.1      1.3429E+04  -655.3      -620.0       2058.      -830.5
         247       -711.1      1.4366E+04  -869.4      -470.8       2047.      -802.0
         248       -896.1      1.3906E+04  -668.1      -463.2       1838.      -1044.
         249       -1002.      1.3405E+04   19.09      -248.6       1882.      -1036.
         250       -1372.      1.4492E+04   263.7      -74.42       1836.      -867.3
         251       -1367.      1.3046E+04   83.05      -36.37       1856.      -1034.
         252       -1673.      1.2404E+04  -18.36       21.61       1837.      -1102.
         253       -1945.      1.2124E+04  -110.4       80.58       1733.      -1120.
         254       -1977.      1.2095E+04  -72.46       138.2       1585.      -1019.
         255       -1810.      1.2224E+04   719.8       186.4       1509.      -937.7
         256       -1951.      1.1597E+04   675.2       186.5       1471.      -919.5
         257       -2256.      1.1269E+04   675.5       178.8       1357.      -903.6
         258       -2163.      1.1031E+04   719.2       202.3       1200.      -840.7
         259       -2434.      1.1009E+04   451.5       254.5       1077.      -810.0
         260       -2658.      1.0267E+04   543.3       258.7       923.0      -909.5
         261       -2971.       9184.       554.2       202.1       757.1      -953.8
         262       -2649.      1.0081E+04   627.5       192.7       585.3      -913.4
         263       -2495.      1.0371E+04   904.3       216.8       376.3      -831.1
         264       -2745.      1.0006E+04   535.2       207.3       295.3      -757.3
         265       -2892.      1.0402E+04   370.4       206.6       204.1      -738.3
         266       -3600.       9512.       732.9       155.1      -26.50      -1388.
         267       -3231.       9056.       2018.      -4.626       23.95      -1906.
         268       -2610.       9018.       3538.       73.29       11.19      -1775.
         269       -4009.       3517.       4263.       103.4       167.3      -1441.
         270       -3826.       4301.       4078.       73.18       295.5      -1464.
